URL,Version,Status,OIDs,Name,Title,Description,Used
http://hl7.org/fhir/us/pco/CodeSystem/va-whole-health-example,0.2.0,active,,VAWholeHealthExample,VA Whole Health Concepts,"Code system to identify ""What Matters"" concepts from the VA Whole Health approach and Circle of Health.","ValueSet/wellbeing-domains-example"
http://hl7.org/fhir/us/pco/CodeSystem/wellbeing-concepts,0.2.0,active,,WellBeingConcepts,Well-Being Concepts,"Code system to identify resource codes and category codes for Well-Being.","ValueSet/well-being-categories"
http://loinc.org,3.1.0,active,"2.16.840.1.113883.6.1",LOINC,Logical Observation Identifiers, Names and Codes (LOINC),"LOINC provides a set of universal names and ID codes for identifying laboratory and clinical test results.1,2 LOINC facilitates the exchange and pooling of results, such as blood hemoglobin, serum potassium, or vital signs, for clinical care, outcomes management, and research. LOINC's universal identifiers (names and codes) can be used in the context of order and observation exchanges between information systems that use syntax standards such as HL73, CEN TC251, ISO TC215, ASTM4, and DICOM. Specifically, the identifier can be used as the coded value for an observation in any other standard that uses the observation/observation value paradigm, whether messages, documents, application programming interface (API), etc. For example, LOINC codes are used widely in the OBX segment Observation Identifier field (OBX-3) of an ORU HL7 (HL7 version 2.x or ASTM 1238-9410) message that may be sent between a Clinical Laboratory Information Management Systems (LIMS) and Electronic Health Record Systems (EHR).5, 6 In this way, LOINC codes provide universal identifiers that allow the exchange of clinical data between heterogeneous computing environments.","ValueSet/us-core-goal-description,ValueSet/gas-score-answers,ValueSet/observation-codes,ValueSet/prom-target-measures,ValueSet/goal-attainment-scaling-score"
http://snomed.info/sct,null,active,"2.16.840.1.113883.6.96",SNOMED_CT,SNOMED CT (all versions),"SNOMED CT is the most comprehensive and precise clinical health terminology product in the world, owned and distributed around the world by The International Health Terminology Standards Development Organisation (IHTSDO).","ValueSet/us-core-goal-description,ValueSet/clinical-findings,ValueSet/referencerange-appliesto,ValueSet/medication-codes,ValueSet/care-plan-category,ValueSet/observation-methods,ValueSet/body-site,ValueSet/goal-barrier-codes,ValueSet/pco-care-tradeoff-types-example-vs,ValueSet/care-plan-activity-outcome,ValueSet/procedure-code,ValueSet/pco-goal-barrier-types-example-vs"
http://terminology.hl7.org/CodeSystem/data-absent-reason,1.0.0,active,"2.16.840.1.113883.4.642.4.1048",DataAbsentReason,DataAbsentReason,"Used to specify why the normally expected content of the data element is missing.","ValueSet/data-absent-reason"
http://terminology.hl7.org/CodeSystem/goal-achievement,1.0.1,active,"2.16.840.1.113883.4.642.1.1375",GoalAchievementStatus,Goal achievement status,"Describes the progression, or lack thereof, towards the goal against the target.","ValueSet/goal-achievement"
http://terminology.hl7.org/CodeSystem/goal-category,1.0.1,active,"2.16.840.1.113883.4.642.1.1097",GoalCategory,Goal category,"Example codes for grouping goals to use for filtering or presentation.","ValueSet/goal-category"
http://terminology.hl7.org/CodeSystem/goal-priority,1.0.1,active,"2.16.840.1.113883.4.642.1.1096",GoalPriority,Goal priority,"Indicates the level of importance associated with reaching or sustaining a goal.","ValueSet/goal-priority"
http://terminology.hl7.org/CodeSystem/list-empty-reason,1.0.1,active,"2.16.840.1.113883.4.642.1.1106",ListEmptyReasons,List Empty Reasons,"General reasons for a list to be empty. Reasons are either related to a summary list (i.e. problem or medication list) or to a workflow related list (i.e. consultation list).","ValueSet/list-empty-reason"
http://terminology.hl7.org/CodeSystem/list-example-use-codes,1.0.1,active,"2.16.840.1.113883.4.642.1.1105",ExampleUseCodesForList,Example Use Codes for List,"Example use codes for the List resource - typical kinds of use.","ValueSet/list-example-codes"
http://terminology.hl7.org/CodeSystem/list-order,1.0.1,active,"2.16.840.1.113883.4.642.1.1107",ListOrderCodes,List Order Codes,"Base values for the order of the items in a list resource.","ValueSet/list-order"
http://terminology.hl7.org/CodeSystem/observation-category,1.0.1,active,"2.16.840.1.113883.4.642.1.1125",ObservationCategoryCodes,Observation Category Codes,"Observation Category codes.","ValueSet/us-core-simple-observation-category,ValueSet/observation-category"
http://terminology.hl7.org/CodeSystem/referencerange-meaning,1.0.1,active,"2.16.840.1.113883.4.642.1.1124",ObservationReferenceRangeMeaningCodes,Observation Reference Range Meaning Codes,"This value set defines a set of codes that can be used to indicate the meaning/use of a reference range for a particular target population.","ValueSet/referencerange-meaning"
http://terminology.hl7.org/CodeSystem/v3-ObservationInterpretation,3.0.0,active,"2.16.840.1.113883.5.83",ObservationInterpretation,ObservationInterpretation,"One or more codes providing a rough qualitative interpretation of the observation, such as ""normal"" / ""abnormal"", ""low"" / ""high"", ""better"" / ""worse"", ""resistant"" / ""susceptible"", ""expected"" / ""not expected"". The value set is intended to be for ANY use where coded representation of an interpretation is needed.","ValueSet/observation-interpretation"
urn:ietf:bcp:47,2.0.1,active,"2.16.840.1.113883.6.121",Ietf3066,Tags for the Identification of Languages,"Older value from OID registry.  Superceded; see recommendations in BCP-47.","ValueSet/languages"
urn:oid:1.2.36.1.2001.1001.101.104.16592,4.0.1,draft,"1.2.36.1.2001.1001.101.104.16592,2.16.840.1.113883.4.642.4.321",PatientMedicineChangeTypes,Patient Medicine Change Types,"Example Item Flags for the List Resource. In this case, these are the kind of flags that would be used on a medication list at the end of a consultation.","ValueSet/list-item-flag"
